,Antarctic fur seal,,,,Subantarctic fur seal,,,
Prey,Slope,SD,t,p,Slope,SD,t,p
Bathylagus.gracilis,,,,,-0.03,0.02,-1.73,0.333
Bathylagus.sp.,,,,,0.08,0.04,1.73,0.333
Cephalopod,0.11,0.09,1.15,0.370,0.06,0.03,1.73,0.333
Crustacean,0.82,0.30,2.71,0.114,,,,
Dissostichus.eleginoides,0.15,0.14,1.07,0.398,0.06,0.05,1.15,0.454
Electrona.antarctica,-0.61,0.21,-2.83,0.105,0.13,0.10,1.37,0.401
Electrona.carlsbergi,-0.37,0.33,-1.12,0.379,0.71,0.31,2.28,0.263
Electrona.sp.,0.01,0.02,0.38,0.742,,,,
Electrona.subaspera,0.05,0.21,0.26,0.822,0.30,0.26,1.19,0.445
Gymnoscopelus.bolini,-0.74,0.26,-2.82,0.106,-0.43,0.14,-3.04,0.202
Gymnoscopelus.braueri,,,,,-0.15,0.09,-1.73,0.333
Gymnoscopelus.fraseri,-4.06,1.02,-3.98,0.058,-10.55,4.87,-2.17,0.275
Gymnoscopelus.nicholsi,-0.46,1.12,-0.41,0.721,-5.05,4.87,-1.04,0.488
Gymnoscopelus.piabilis,-6.00,2.09,-2.87,0.103,-0.11,2.04,-0.06,0.964
Gymnoscopelus.sp.,0.13,0.20,0.65,0.580,0.00,0.16,0.00,1.000
Krefftichthys.anderssoni,0.05,0.01,4.00,0.057,0.00,0.01,0.26,0.840
Lampichthys.procerus,0.05,0.03,1.73,0.225,0.08,0.03,2.74,0.223
Lepidonotothen.larseni,0.01,0.03,0.38,0.742,,,,
Maurolicus.muelleri,0.00,0.01,-0.38,0.742,-0.06,0.02,-3.41,0.182
Metelectrona.ventralis,-0.84,1.19,-0.70,0.554,0.49,1.77,0.28,0.827
Notothenia.squamifrons,0.12,0.32,0.38,0.742,0.13,0.08,1.73,0.333
Paralepis.atlantica,0.05,0.02,3.33,0.080,0.21,0.12,1.73,0.333
Paralepis.sp.,,,,,0.02,0.00,6.03,0.105
Penguin,0.89,0.23,3.88,0.061,,,,
Photichthys.argenteus,,,,,-0.02,0.01,-1.79,0.324
Protomyctophum.bolini,-0.01,0.05,-0.12,0.918,-0.04,0.01,-7.37,0.086
Protomyctophum.choriodon,0.08,0.74,0.11,0.925,1.60,0.56,2.84,0.216
Protomyctophum.tenisoni,10.94,2.22,4.93,0.039,12.35,8.38,1.47,0.380
Scopelosaurus.ahlstromi,-0.02,0.06,-0.30,0.790,0.09,0.30,0.30,0.813
Sternoptychidae,,,,,-0.01,0.03,-0.25,0.847
Symbolophorus.boops,-0.35,0.32,-1.07,0.395,0.14,0.11,1.26,0.428
