"prey","n.samples.x","fo.number.x","fo.number.LCL.x","fo.number.UCL.x","fo.percent.x","fo.percent.LCL.x","fo.percent.UCL.x","n.preyitems.x","na.number.x","na.number.LCL.x","na.number.UCL.x","na.percent.x","na.percent.LCL.x","na.percent.UCL.x","na.weighted.x","na.weighted.LCL.x","na.weighted.UCL.x","rank.fo.x","rank.na.x","rank.fo.inv.x","rank.na.inv.x","cum.fo.x","cum.na.x","fo.prim.x","na.prim.x","n.samples.y","fo.number.y","fo.number.LCL.y","fo.number.UCL.y","fo.percent.y","fo.percent.LCL.y","fo.percent.UCL.y","n.preyitems.y","na.number.y","na.number.LCL.y","na.number.UCL.y","na.percent.y","na.percent.LCL.y","na.percent.UCL.y","na.weighted.y","na.weighted.LCL.y","na.weighted.UCL.y","rank.fo.y","rank.na.y","rank.fo.inv.y","rank.na.inv.y","cum.fo.y","cum.na.y","fo.prim.y","na.prim.y"
"Bathylagus gracilis",750,1,0,3.02499999999998,0.133333333333333,0,0.403854027592342,13654,2,0,6.04999999999995,0.0146477222791856,0,0.047167678078921,0.0140350877192982,0,0.0425109502728781,1,3,29,29,332.933333333333,99.9780284165812,"non-primary","non-primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bathylagus sp.",750,5,1,10,0.666666666666667,0.133333333333333,1.33333333333333,13654,5,1,10,0.036619305697964,0.00746009848473233,0.0742586253360452,0.0358545307461716,0.00555555555555555,0.0832244307979602,10,7,24,25,331.733333333333,99.9121136663249,"non-primary","non-primary",661,1,0,3,0.151285930408472,0,0.453857791225416,9061,1,0,3,0.0110363094581172,0,0.0348065739669456,0.00540306894315971,0,0.0162092068294791,1,2,28,27,264.447806354009,99.9889636905419,"non-primary","non-primary"
"Cephalopod",750,3,0,7,0.4,0,0.933333333333333,13654,3,0,7,0.0219715834187784,0,0.0502068388239499,0.4,0,0.933333333333333,7,6,25,26,332.133333333333,99.9340852497437,"non-primary","non-primary",661,31,21,42,4.68986384266263,3.17700453857791,6.35400907715582,9061,33,22,46,0.364198212117868,0.240303396214719,0.518679171557933,4.68986384266263,3.17700453857791,6.35400907715582,15,14,14,15,252.647503782148,98.8191148879815,"non-primary","non-primary"
"Crustacean",750,1,0,4,0.133333333333333,0,0.533333333333333,13654,1,0,4,0.00732386113959279,0,0.028494705988959,0.133333333333333,0,0.533333333333333,2,1,31,31,333.2,100,"non-primary","non-primary",661,74,57,90,11.1951588502269,8.63603699628662,13.6157337367625,9061,75,58,92,0.82772320935879,0.60521879269663,1.06790768464006,11.1951588502269,8.63603699628662,13.6157337367625,22,18,7,11,205.597579425113,96.5566714490674,"non-primary","non-primary"
"Dissostichus eleginoides",750,5,1,10,0.666666666666667,0.133333333333333,1.33333333333333,13654,7,1,14,0.0512670279771496,0.00728837774698953,0.104791702209036,0.0452602190588461,0.00634920634920635,0.0944892462009602,9,9,22,23,330.4,99.8315511937894,"non-primary","non-primary",661,8,3,14,1.21028744326778,0.453857791225416,2.11800302571861,9061,16,6,31,0.176580951329875,0.0645285748734025,0.329032277481571,0.101670546629495,0.0168645371842619,0.215380426224398,9,12,19,17,260.211800302572,99.2164220284737,"non-primary","non-primary"
"Electrona antarctica",750,26,16,36,3.46666666666667,2.13333333333333,4.8,13654,41,25,61,0.300278306723305,0.180018334068293,0.44001514526995,0.472393392805911,0.19764224226859,0.823918263400077,20,20,12,12,317.333333333333,98.7549436062692,"non-primary","non-primary",661,37,26,49,5.59757942511346,3.93343419062027,7.41301059001513,9061,129,58,235.025,1.42368392009712,0.660883516542316,2.59585864987692,1.04846956383686,0.626319624144643,1.63330246770914,18,20,11,9,237.67019667171,94.4597726520252,"non-primary","non-primary"
"Electrona carlsbergi",750,221,198.975,246,29.4666666666667,26.5308811748999,32.8,13654,643,539.95,769.225,4.70924271275817,3.97534122748899,5.53685205702788,5.59302720264071,4.58390366847303,6.64470030630863,27,26,5,6,248.133333333333,93.254723890435,"primary","non-primary",661,216,193,241,32.67776096823,29.1981845688351,36.4599092284418,9061,879,713,1067,9.70091601368502,7.88459894450915,11.8016416359673,9.68674305762105,8.18647684630759,11.3773517378152,26,24,3,5,124.205748865356,84.8692197329213,"primary","primary"
"Electrona sp.",750,2,0,5,0.266666666666667,0,0.666666666666667,13654,2,0,5,0.0146477222791856,0,0.0371888226077585,0.00729243656072924,0,0.0186252771618625,6,2,26,28,332.4,99.963380694302,"non-primary","non-primary",661,2,0,5,0.302571860816944,0,0.75642965204236,9061,2,0,5,0.0220726189162344,0,0.0549510443540678,0.0825195984046211,0,0.240682162013478,5,4,24,25,263.691376701967,99.9668910716257,"non-primary","non-primary"
"Electrona subaspera",750,53,40.975,67,7.06666666666667,5.46333333333333,8.93333333333333,13654,164,99.975,243.05,1.20111322689322,0.729118724717292,1.78041539624191,1.4523743665566,0.986857647808919,2.0067578930378,22,23,10,9,309.333333333333,97.3634099897466,"non-primary","non-primary",661,52,38,66,7.86686838124055,5.76609417390904,9.98487140695915,9061,249,161.975,370,2.74804105507118,1.75406318880236,4.10509196604181,2.84200845099047,1.98197098643539,3.78597875029652,19,22,10,7,232.072617246596,91.0164441010926,"non-primary","non-primary"
"Gymnoscopelus bolini",750,112,93,132,14.9333333333333,12.4,17.6,13654,230,179,286,1.68448806210634,1.31597040131306,2.10412424750029,1.91225207353831,1.47423943545129,2.4510590375191,25,25,7,7,285.866666666667,94.9392119525414,"non-primary","non-primary",661,69,53,85,10.4387291981846,8.01815431164902,12.8593040847201,9061,183,130.975,241,2.01964463083545,1.5035887830095,2.57830923248053,1.34546024402054,0.903389341145183,1.90303962011114,21,21,8,8,216.036308623298,93.036088731928,"non-primary","non-primary"
