"prey","n.samples.x","fo.number.x","fo.number.LCL.x","fo.number.UCL.x","fo.percent.x","fo.percent.LCL.x","fo.percent.UCL.x","n.preyitems.x","na.number.x","na.number.LCL.x","na.number.UCL.x","na.percent.x","na.percent.LCL.x","na.percent.UCL.x","na.weighted.x","na.weighted.LCL.x","na.weighted.UCL.x","rank.fo.x","rank.na.x","rank.fo.inv.x","rank.na.inv.x","cum.fo.x","cum.na.x","fo.prim.x","na.prim.x","n.samples.y","fo.number.y","fo.number.LCL.y","fo.number.UCL.y","fo.percent.y","fo.percent.LCL.y","fo.percent.UCL.y","n.preyitems.y","na.number.y","na.number.LCL.y","na.number.UCL.y","na.percent.y","na.percent.LCL.y","na.percent.UCL.y","na.weighted.y","na.weighted.LCL.y","na.weighted.UCL.y","rank.fo.y","rank.na.y","rank.fo.inv.y","rank.na.inv.y","cum.fo.y","cum.na.y","fo.prim.y","na.prim.y"
"Bathylagus gracilis",504,1,0,3.52499999999998,0.198412698412698,0,0.699404761904757,9273,2,0,7.04999999999995,0.0215679930982422,0,0.0771736676266196,0.0208855472013367,0,0.0736215538847113,1,1,27,26,324.404761904762,99.9784320069018,"non-primary","non-primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bathylagus sp.",504,4,1,8,0.793650793650794,0.198412698412698,1.58730158730159,9273,4,1,8,0.0431359861964844,0.0104106887473925,0.0872149548895367,0.0250102852657032,0.00389044506691566,0.0519668759316592,7,5,20,23,320.436507936508,99.8813760379597,"non-primary","non-primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cephalopod",504,3,0,7,0.595238095238095,0,1.38888888888889,9273,3,0,7,0.0323519896473633,0,0.0745488228475334,0.595238095238095,0,1.38888888888889,3,3,24,25,323.214285714286,99.9568640138035,"non-primary","non-primary",386,19,11,29,4.92227979274611,2.84974093264249,7.51295336787565,5992,21,12,32,0.350467289719626,0.203121361745555,0.585963577501794,4.92227979274611,2.84974093264249,7.51295336787565,13,12,13,14,258.80829015544,98.7650200267023,"non-primary","non-primary"
"Dissostichus eleginoides",504,3,0,6,0.595238095238095,0,1.19047619047619,9273,5,0,12,0.0539199827456055,0,0.127671037555697,0.0474605191220098,0,0.113714787627831,5,8,23,21,322.619047619048,99.7843200690176,"non-primary","non-primary",386,6,1,12,1.55440414507772,0.259067357512953,3.10880829015544,5992,14,2,27,0.233644859813084,0.0398132162196572,0.453284000100968,0.160100585276402,0.0130163932251066,0.332558811632497,10,9,16,17,265.025906735751,99.6161548731642,"non-primary","non-primary"
"Electrona antarctica",504,21,13,30,4.16666666666667,2.57936507936508,5.95238095238095,9273,34,19.475,51,0.366655882670118,0.214268311421497,0.545869997340062,0.374758686384457,0.176829245511766,0.647001597494293,18,16,10,12,305.15873015873,99.0402243071282,"non-primary","non-primary",386,23,15,31.525,5.95854922279793,3.8860103626943,8.16709844559585,5992,62,29,104.525,1.0347129506008,0.489455072360377,1.73464664963823,0.827376604264468,0.401940962767042,1.35653934912095,14,17,12,9,253.886010362694,95.6608811748999,"non-primary","non-primary"
"Electrona carlsbergi",504,121,103,140,24.0079365079365,20.4365079365079,27.7777777777778,9273,257,200.425,311.525,2.77148711312412,2.14590633987966,3.36816165891724,3.01710985738547,2.29491516345629,3.70352828880838,23,22,5,6,255.555555555556,94.0688018979834,"primary","non-primary",386,90,73,106,23.3160621761658,18.9119170984456,27.4611398963731,5992,249,189,315.525,4.15554072096128,3.1846938722447,5.24812498822757,4.04627120213137,2.85599680443199,5.22553914020845,21,21,5,5,196.891191709845,88.7516688918558,"primary","non-primary"
"Electrona subaspera",504,14,7,22,2.77777777777778,1.38888888888889,4.36507936507936,9273,41,17,73.525,0.442143858513965,0.176822592058793,0.789364317461905,0.388954812409754,0.162971661023316,0.667785392092223,16,18,12,10,311.507936507937,98.2961285452389,"non-primary","non-primary",386,9,3,15,2.33160621761658,0.77720207253886,3.8860103626943,5992,33,7,66.525,0.550734312416555,0.112834588292067,1.13281076676931,0.76723022824375,0.190208686591222,1.61018369101587,11,14,15,12,263.471502590674,97.9639519359146,"non-primary","non-primary"
"Gymnoscopelus bolini",504,77,62,93,15.2777777777778,12.3015873015873,18.452380952381,9273,160,120,206,1.72543944785938,1.27085108113794,2.17747885239238,1.92942983477541,1.38643173961736,2.51849429826745,22,21,6,7,270.833333333333,95.7942413458428,"non-primary","non-primary",386,41,30,52,10.6217616580311,7.7720207253886,13.4715025906736,5992,117,72.475,164.525,1.95260347129506,1.30468631323105,2.70003542549839,1.14587064747769,0.643661677944145,1.8029160027135,19,19,7,7,219.430051813472,93.2910547396529,"non-primary","non-primary"
"Gymnoscopelus braueri",504,6,2,11,1.19047619047619,0.396825396825397,2.18253968253968,9273,10,2,21,0.107839965491211,0.0223397339322095,0.224286918429375,0.120048095483741,0.0210274327122153,0.269132673808312,12,14,14,14,314.484126984127,99.2666882346598,"non-primary","non-primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gymnoscopelus fraseri",504,236,214,256.525,46.8253968253968,42.4603174603175,50.8978174603175,9273,1932,1571,2310.25,20.834681332902,17.4904926021567,24.5752295320581,16.6524458752196,14.5441605726345,18.911104818832,25,25,3,3,192.857142857143,68.2842661490348,"primary","primary",386,154,137,174.525,39.8963730569948,35.4922279792746,45.2137305699482,5992,923,727.425,1131.05,15.4038718291055,12.7823088267951,18.2320396838141,11.3024607372582,9.74750359156575,13.3974417920058,23,23,3,3,138.60103626943,69.2590120160214,"primary","primary"
