"prey","n.samples","fo.number","fo.number.LCL","fo.number.UCL","fo.percent","fo.percent.LCL","fo.percent.UCL","n.preyitems","na.number","na.number.LCL","na.number.UCL","na.percent","na.percent.LCL","na.percent.UCL","na.weighted","na.weighted.LCL","na.weighted.UCL","rank.fo","rank.na","rank.fo.inv","rank.na.inv","cum.fo","cum.na","fo.prim","na.prim"
"Gymnoscopelus piabilis",661,315,288,340,47.6550680786687,43.5703479576399,51.4372163388805,9061,2349,1930.95,2849.1,25.9242909171173,22.4979577023796,29.2938916362365,19.7317877564159,17.521340490876,21.8637347872534,28,28,1,1,47.6550680786687,25.9242909171173,"primary","primary"
"Protomyctophum tenisoni",661,173,151,195.025,26.1724659606657,22.8441754916793,29.5045385779123,9061,1714,1235,2284.025,18.9162344112129,14.264613149201,23.9837379487871,11.2700037271914,9.43773086973716,13.0397992032256,24,27,5,2,182.602118003026,44.8405253283302,"primary","primary"
"Gymnoscopelus nicholsi",661,290,266,316,43.8729198184569,40.2420574886536,47.8081648558199,9061,1550,1301.975,1820.025,17.1062796600817,14.9165435744141,19.543363246892,13.066618338762,11.545997226519,14.7192640749402,27,26,2,3,91.5279878971256,61.9468049884119,"primary","primary"
"Gymnoscopelus fraseri",661,213,188,236,32.2239031770045,28.4417549167927,35.7034795763994,9061,1198,969,1441.025,13.2214987308244,11.0888712629942,15.4544998780963,9.35676134841724,8.06277292211462,10.7119987837976,25,25,4,4,156.42965204236,75.1683037192363,"primary","primary"
"Electrona carlsbergi",661,216,193,241,32.67776096823,29.1981845688351,36.4599092284418,9061,879,713,1067,9.70091601368502,7.88459894450915,11.8016416359673,9.68674305762105,8.18647684630759,11.3773517378152,26,24,3,5,124.205748865356,84.8692197329213,"primary","primary"
"Metelectrona ventralis",661,78,62,94,11.8003025718608,9.37972768532526,14.2208774583964,9061,308,202,434,3.3991833131001,2.26877719418808,4.64785910652391,2.86507131630225,2.0450256583962,3.82626655791693,23,23,6,6,194.402420574887,88.2684030460214,"primary","non-primary"
"Electrona subaspera",661,52,38,66,7.86686838124055,5.76609417390904,9.98487140695915,9061,249,161.975,370,2.74804105507118,1.75406318880236,4.10509196604181,2.84200845099047,1.98197098643539,3.78597875029652,19,22,10,7,232.072617246596,91.0164441010926,"non-primary","non-primary"
"Gymnoscopelus bolini",661,69,53,85,10.4387291981846,8.01815431164902,12.8593040847201,9061,183,130.975,241,2.01964463083545,1.5035887830095,2.57830923248053,1.34546024402054,0.903389341145183,1.90303962011114,21,21,8,8,216.036308623298,93.036088731928,"non-primary","non-primary"
"Electrona antarctica",661,37,26,49,5.59757942511346,3.93343419062027,7.41301059001513,9061,129,58,235.025,1.42368392009712,0.660883516542316,2.59585864987692,1.04846956383686,0.626319624144643,1.63330246770914,18,20,11,9,237.67019667171,94.4597726520252,"non-primary","non-primary"
"Protomyctophum choriodon",661,37,26,49,5.59757942511346,3.9392449456746,7.41301059001513,9061,115,58.975,198.025,1.26917558768348,0.651674827212479,2.17236343701496,0.792688912505846,0.46836453530116,1.20258125454964,17,19,12,10,243.267776096823,95.7289482397086,"non-primary","non-primary"
"Crustacean",661,74,57,90,11.1951588502269,8.63603699628662,13.6157337367625,9061,75,58,92,0.82772320935879,0.60521879269663,1.06790768464006,11.1951588502269,8.63603699628662,13.6157337367625,22,18,7,11,205.597579425113,96.5566714490674,"non-primary","non-primary"
"Symbolophorus boops",661,31,21,42,4.68986384266263,3.17700453857791,6.35400907715582,9061,69,40,105,0.761505352610087,0.465020150417884,1.09818839751681,0.551635511456012,0.308719659421332,0.851544775744335,16,17,13,12,247.957639939486,97.3181768016775,"non-primary","non-primary"
