"prey","n.samples","fo.number","fo.number.LCL","fo.number.UCL","fo.percent","fo.percent.LCL","fo.percent.UCL","n.preyitems","na.number","na.number.LCL","na.number.UCL","na.percent","na.percent.LCL","na.percent.UCL","na.weighted","na.weighted.LCL","na.weighted.UCL","rank.fo","rank.na","rank.fo.inv","rank.na.inv","cum.fo","cum.na","fo.prim","na.prim"
"Gymnoscopelus piabilis",386,210,190.475,227.525,54.4041450777202,49.3458549222798,58.9443005181347,5992,1680,1353.475,2086.3,28.0373831775701,23.6730649725469,32.4449522555956,22.9894322317407,20.2715826150791,25.5491706650126,25,25,1,1,54.4041450777202,28.0373831775701,"primary","primary"
"Protomyctophum tenisoni",386,135,117.475,153.525,34.9740932642487,30.4339378238342,39.7733160621762,5992,1547,1104.8,2080.525,25.8177570093458,19.2705415437803,32.433663130867,16.5296474541183,13.6954571708729,19.5602942533057,22,24,4,2,173.575129533679,53.8551401869159,"primary","primary"
"Gymnoscopelus fraseri",386,154,137,174.525,39.8963730569948,35.4922279792746,45.2137305699482,5992,923,727.425,1131.05,15.4038718291055,12.7823088267951,18.2320396838141,11.3024607372582,9.74750359156575,13.3974417920058,23,23,3,3,138.60103626943,69.2590120160214,"primary","primary"
"Gymnoscopelus nicholsi",386,171,152.475,190,44.300518134715,39.5012953367876,49.2227979274611,5992,919,723.425,1140.675,15.3371161548732,12.88189679552,17.9613937648525,12.6255911465819,10.5966882729596,14.7274944664279,24,22,2,4,98.7046632124352,84.5961281708945,"primary","primary"
"Electrona carlsbergi",386,90,73,106,23.3160621761658,18.9119170984456,27.4611398963731,5992,249,189,315.525,4.15554072096128,3.1846938722447,5.24812498822757,4.04627120213137,2.85599680443199,5.22553914020845,21,21,5,5,196.891191709845,88.7516688918558,"primary","non-primary"
"Metelectrona ventralis",386,35,23,46,9.06735751295337,5.95854922279793,11.9170984455959,5992,155,83.475,242.05,2.586782376502,1.45724938139504,3.97100453520804,1.86564821866884,1.13625725989756,2.72067622185542,18,20,8,6,228.497409326425,91.3384512683578,"non-primary","non-primary"
"Gymnoscopelus bolini",386,41,30,52,10.6217616580311,7.7720207253886,13.4715025906736,5992,117,72.475,164.525,1.95260347129506,1.30468631323105,2.70003542549839,1.14587064747769,0.643661677944145,1.8029160027135,19,19,7,7,219.430051813472,93.2910547396529,"non-primary","non-primary"
"Protomyctophum choriodon",386,24,15,34,6.21761658031088,3.8860103626943,8.80829015544041,5992,80,30,148.525,1.33511348464619,0.509893904514063,2.5022733293952,0.877763754346028,0.41674055341594,1.46423133322907,16,18,10,8,241.709844559585,94.6261682242991,"non-primary","non-primary"
"Electrona antarctica",386,23,15,31.525,5.95854922279793,3.8860103626943,8.16709844559585,5992,62,29,104.525,1.0347129506008,0.489455072360377,1.73464664963823,0.827376604264468,0.401940962767042,1.35653934912095,14,17,12,9,253.886010362694,95.6608811748999,"non-primary","non-primary"
"Symbolophorus boops",386,24,15,33,6.21761658031088,3.8860103626943,8.54922279792746,5992,59,33,90,0.984646194926569,0.54195710131512,1.48686668803756,0.79941344523256,0.409978782573649,1.31529649980482,15,16,11,10,247.927461139896,96.6455273698264,"non-primary","non-primary"
