"prey","n.samples","fo.number","fo.number.LCL","fo.number.UCL","fo.percent","fo.percent.LCL","fo.percent.UCL","n.preyitems","na.number","na.number.LCL","na.number.UCL","na.percent","na.percent.LCL","na.percent.UCL","na.weighted","na.weighted.LCL","na.weighted.UCL","rank.fo","rank.na","rank.fo.inv","rank.na.inv","cum.fo","cum.na","fo.prim","na.prim"
"Gymnoscopelus piabilis",246,194,181,206.525,78.8617886178862,73.5772357723577,83.9532520325203,4381,1419,1214,1668.575,32.3898653275508,28.7451179636357,36.1762776135539,33.0495741840638,29.5856290198292,36.2509374071441,27,27,1,1,78.8617886178862,32.3898653275508,"primary","primary"
"Gymnoscopelus nicholsi",246,170,156,186,69.1056910569106,63.4146341463415,75.609756097561,4381,1024,842,1216.1,23.3736589819676,19.9767756205456,26.3595758156285,21.4811077210996,18.8186242880588,24.3349648854636,26,26,2,2,147.967479674797,55.7635243095184,"primary","primary"
"Metelectrona ventralis",246,103,89.475,117,41.869918699187,36.4494773519164,47.5609756097561,4381,732,494.375,1105.05,16.7085140378909,12.0456176336959,23.1055179297626,12.2058165005905,9.87860410649369,14.678146205678,25,25,3,3,189.837398373984,72.4720383474093,"primary","primary"
"Electrona carlsbergi",246,100,85,115,40.650406504065,34.5528455284553,46.7479674796748,4381,386,310,478.525,8.810773795937,7.09511840416854,10.8451525816612,10.8705163977978,8.60735710825411,13.5007890228467,24,24,4,4,230.487804878049,81.2828121433463,"primary","primary"
"Gymnoscopelus fraseri",246,79,65.475,93,32.1138211382114,26.6724738675958,37.8048780487805,4381,369,250.95,523.525,8.42273453549418,5.79327557120558,11.362358490566,7.44213875656164,5.73347165155896,9.20066554498337,23,23,5,5,262.60162601626,89.7055466788404,"primary","non-primary"
"Electrona subaspera",246,39,28,50,15.8536585365854,11.3821138211382,20.3252032520325,4381,123,67,202.15,2.80757817849806,1.52731602307296,4.55614659503074,3.63108759944283,2.23835126227959,5.26398364148871,22,22,6,6,278.455284552846,92.5131248573385,"primary","non-primary"
"Protomyctophum tenisoni",246,30,20,42,12.1951219512195,8.13008130081301,17.0731707317073,4381,80,43.475,125.525,1.82606710796622,0.99473626343421,3.02535923822352,2.3458776446152,1.3022705690553,3.71286802506516,20,21,8,7,304.878048780488,94.3391919653047,"non-primary","non-primary"
"Gymnoscopelus bolini",246,35,24,47.525,14.2276422764228,9.75609756097561,19.3191056910569,4381,70,42.475,107.525,1.59780871947044,0.978148192606265,2.44667425408275,1.87705861149158,1.09553889000854,3.17410070736,21,20,7,8,292.682926829268,95.9370006847752,"non-primary","non-primary"
"Protomyctophum choriodon",246,17,9.475,24,6.91056910569106,3.86736971877916,9.75609756097561,4381,34,15.475,58.525,0.776078520885643,0.355948390004489,1.28569181266351,1.0733781591986,0.408063792742103,1.93526454738579,18,19,10,9,320.731707317073,96.7130792056608,"non-primary","non-primary"
"Scopelosaurus ahlstromi",246,22,13,30,8.94308943089431,5.28455284552846,12.2212543554007,4381,29,15.475,44,0.661949326637754,0.364015651789494,1.03166212759096,0.72160663583356,0.404730576550569,1.10563588877918,19,18,9,10,313.821138211382,97.3750285322986,"non-primary","non-primary"
"Symbolophorus boops",246,16,9,24,6.50406504065041,3.65853658536585,9.75609756097561,4381,27,13,41,0.616297648938599,0.293283419449161,0.953230092574536,0.591232691037043,0.219707831173228,1.04265963797922,17,17,11,11,327.235772357724,97.9913261812372,"non-primary","non-primary"
"Paralepis atlantica",246,11,5,17,4.47154471544715,2.03252032520325,6.91056910569106,4381,14,7,23,0.319561743894088,0.149698204227969,0.525195427447163,0.933719791267968,0.173177903378187,2.13821114353741,16,16,12,12,331.707317073171,98.3108879251313,"non-primary","non-primary"
"Krefftichthys anderssoni",246,8,3,13,3.2520325203252,1.21951219512195,5.28455284552846,4381,11,3,21,0.251084227345355,0.0742168929107704,0.477086533538146,0.223390727596541,0.0744299102470066,0.422322405356694,15,15,13,13,334.959349593496,98.5619721524766,"non-primary","non-primary"
"Protomyctophum bolini",246,5,1,10,2.03252032520325,0.40650406504065,4.0650406504065,4381,10,1,26.525,0.228258388495777,0.0234079979918424,0.563888888888889,0.135309786848727,0.0119560019129603,0.326310274327044,13,13,15,14,339.837398373984,98.7902305409724,"non-primary","non-primary"
"Gymnoscopelus sp.",246,5,1,10,2.03252032520325,0.40650406504065,4.0650406504065,4381,10,2,20,0.228258388495777,0.0446793677734443,0.458923840363346,1.20414019266243,0.143472022955524,2.69712153153944,11,14,16,15,341.869918699187,99.0184889294682,"non-primary","non-primary"
